"Date","VKOSPI_Close","VKOSPI_Change"
2014-05-22,11.29,-4.89
2014-05-23,11.09,-1.77
2014-05-26,11.13,0.36
2014-05-27,11.11,-0.18
2014-05-28,10.8,-2.79
2014-05-29,10.49,-2.87
2014-05-30,10.86,3.53
2014-06-02,10.89,0.28
2014-06-03,10.88,-0.09
2014-06-05,11.46,5.33
2014-06-09,11.63,1.48
2014-06-10,11.52,-0.95
2014-06-11,11.45,-0.61
2014-06-12,11.6,1.31
2014-06-13,12.09,4.22
2014-06-16,11.7,-3.23
2014-06-17,11.37,-2.82
2014-06-18,11.47,0.88
2014-06-19,10.95,-4.53
2014-06-20,11.48,4.84
2014-06-23,11.01,-4.09
2014-06-24,10.77,-2.18
2014-06-25,10.95,1.67
2014-06-26,10.86,-0.82
2014-06-27,11.08,2.03
2014-06-30,11.48,3.61
2014-07-01,11.25,-2
2014-07-02,10.98,-2.4
2014-07-03,10.85,-1.18
2014-07-04,10.66,-1.75
2014-07-07,10.78,1.13
2014-07-08,10.61,-1.58
2014-07-09,10.99,3.58
2014-07-10,11.1,1
2014-07-11,11.3,1.8
2014-07-14,10.93,-3.27
2014-07-15,10.39,-4.94
2014-07-16,10.47,0.77
2014-07-17,10.47,0
2014-07-18,10.76,2.77
2014-07-21,10.95,1.77
2014-07-22,10.82,-1.19
2014-07-23,10.86,0.37
2014-07-24,10.85,-0.09
2014-07-25,10.88,0.28
2014-07-28,11.69,7.44
2014-07-29,12.18,4.19
2014-07-30,13.49,10.76
2014-07-31,12.69,-5.93
2014-08-01,13.08,3.07
2014-08-04,13.19,0.84
2014-08-05,12.42,-5.84
2014-08-06,12.09,-2.66
2014-08-07,11.54,-4.55
2014-08-08,12.9,11.79
2014-08-11,12.39,-3.95
2014-08-12,12.51,0.97
2014-08-13,12.92,3.28
2014-08-14,12.57,-2.71
2014-08-18,12.27,-2.39
2014-08-19,11.47,-6.52
2014-08-20,11.45,-0.17
2014-08-21,12.05,5.24
2014-08-22,11.3,-6.22
2014-08-25,11.53,2.04
2014-08-26,10.99,-4.68
2014-08-27,10.84,-1.36
2014-08-28,10.79,-0.46
2014-08-29,10.86,0.65
2014-09-01,11.19,3.04
2014-09-02,11.25,0.54
2014-09-03,11.17,-0.71
2014-09-04,11.24,0.63
2014-09-05,11.65,3.65
2014-09-11,11.99,2.92
2014-09-12,11.17,-6.84
2014-09-15,11.93,6.8
2014-09-16,12.05,1.01
2014-09-17,12.15,0.83
2014-09-18,12.2,0.41
2014-09-19,11.65,-4.51
2014-09-22,12.34,5.92
2014-09-23,12.14,-1.62
2014-09-24,12.13,-0.08
2014-09-25,12.15,0.16
2014-09-26,12.3,1.23
2014-09-29,12.62,2.6
2014-09-30,12.69,0.55
2014-10-01,13.16,3.7
2014-10-02,14.25,8.28
2014-10-06,13.21,-7.3
2014-10-07,12.98,-1.74
2014-10-08,13.37,3
2014-10-10,15.35,14.81
2014-10-13,15.74,2.54
2014-10-14,16.38,4.07
2014-10-15,15.71,-4.09
2014-10-16,17.07,8.66
2014-10-17,18.65,9.26
2014-10-20,16.17,-13.3
2014-10-21,15.99,-1.11
2014-10-22,14.89,-6.88
2014-10-23,14.55,-2.28
2014-10-24,14.7,1.03
2014-10-27,14.32,-2.59
2014-10-28,14.01,-2.16
2014-10-29,13.51,-3.57
2014-10-30,13.41,-0.74
2014-10-31,13.99,4.33
2014-11-03,14.45,3.29
2014-11-04,14.86,2.84
2014-11-05,14.44,-2.83
2014-11-06,14.35,-0.62
2014-11-07,14.29,-0.42
2014-11-10,13.98,-2.17
2014-11-11,13.73,-1.79
2014-11-12,13.73,0
2014-11-13,14.23,3.64
2014-11-14,13.55,-4.78
2014-11-17,13.57,0.15
2014-11-18,13.01,-4.13
2014-11-19,13,-0.08
2014-11-20,12.89,-0.85
2014-11-21,12.63,-2.02
2014-11-24,12.32,-2.45
2014-11-25,12.03,-2.35
2014-11-26,12.02,-0.08
2014-11-27,11.7,-2.66
2014-11-28,11.59,-0.94
2014-12-01,12.07,4.14
2014-12-02,11.83,-1.99
2014-12-03,11.49,-2.87
2014-12-04,12.16,5.83
2014-12-05,12.29,1.07
2014-12-08,12.67,3.09
2014-12-09,12.33,-2.68
2014-12-10,13.65,10.71
2014-12-11,14.43,5.71
2014-12-12,13.39,-7.21
2014-12-15,13.92,3.96
2014-12-16,14.96,7.47
2014-12-17,15.86,6.02
2014-12-18,15.21,-4.1
2014-12-19,13.47,-11.44
2014-12-22,12.9,-4.23
2014-12-23,12.77,-1.01
2014-12-24,12.43,-2.66
2014-12-26,12.32,-0.88
2014-12-29,12.91,4.79
2014-12-30,12.97,0.46
2015-01-02,12.5,-3.62
2015-01-05,12.41,-0.72
2015-01-06,13.88,11.85
2015-01-07,13.72,-1.15
2015-01-08,13.36,-2.62
2015-01-09,12.87,-3.67
2015-01-12,13.36,3.81
2015-01-13,13.34,-0.15
2015-01-14,13.86,3.9
2015-01-15,13.61,-1.8
2015-01-16,14.61,7.35
2015-01-19,14.08,-3.63
2015-01-20,13.85,-1.63
2015-01-21,13.85,0
2015-01-22,13.9,0.36
2015-01-23,13.2,-5.04
2015-01-26,13.77,4.32
2015-01-27,13.25,-3.78
2015-01-28,13.5,1.89
2015-01-29,13.84,2.52
2015-01-30,13.67,-1.23
2015-02-02,14.11,3.22
2015-02-03,13.67,-3.12
2015-02-04,13.14,-3.88
2015-02-05,13.34,1.52
2015-02-06,13.06,-2.1
2015-02-09,12.98,-0.61
2015-02-10,13.12,1.08
2015-02-11,12.98,-1.07
2015-02-12,12.74,-1.85
2015-02-13,11.58,-9.11
2015-02-16,11.64,0.52
2015-02-17,11.69,0.43
2015-02-23,11.86,1.45
2015-02-24,11.78,-0.67
2015-02-25,11.43,-2.97
2015-02-26,11.35,-0.7
2015-02-27,11.11,-2.11
2015-03-02,11.13,0.18
2015-03-03,10.82,-2.79
2015-03-04,10.84,0.18
2015-03-05,10.9,0.55
2015-03-06,10.78,-1.1
2015-03-09,11.68,8.35
2015-03-10,11.83,1.28
2015-03-11,12.37,4.56
2015-03-12,12.73,2.91
2015-03-13,11.45,-10.05
2015-03-16,11.56,0.96
2015-03-17,11.56,0
2015-03-18,12.22,5.71
2015-03-19,11.38,-6.87
2015-03-20,11.17,-1.85
2015-03-23,11.67,4.48
2015-03-24,11.6,-0.6
2015-03-25,11.71,0.95
2015-03-26,11.76,0.43
2015-03-27,11.31,-3.83
2015-03-30,11.34,0.27
2015-03-31,11.09,-2.2
2015-04-01,11.36,2.43
2015-04-02,11.28,-0.7
