"Date","KODEX 200_Close","KODEX 200_NAV","KODEX 200_Premium"
2017-09-13,31090,31042.63,0.15
2017-09-14,31210,31293.6,-0.27
2017-09-15,31385,31410.04,-0.08
2017-09-18,31890,31933.03,-0.13
2017-09-19,31875,31890.98,-0.05
2017-09-20,31855,31888.42,-0.1
2017-09-21,31880,31865.41,0.05
2017-09-22,31675,31709.77,-0.11
2017-09-25,31645,31678.49,-0.11
2017-09-26,31485,31467.51,0.06
2017-09-27,31420,31420.29,0
2017-09-28,31455,31453.87,0
2017-09-29,31700,31694.04,0.02
2017-10-10,32275,32316.23,-0.13
2017-10-11,32615,32678.88,-0.2
2017-10-12,32825,32878.42,-0.16
2017-10-13,32785,32801.35,-0.05
2017-10-16,32815,32848.65,-0.1
2017-10-17,32885,32917.28,-0.1
2017-10-18,32865,32905.78,-0.12
2017-10-19,32735,32711.19,0.07
2017-10-20,32910,32951.57,-0.13
2017-10-23,33010,33008.09,0.01
2017-10-24,32950,32959.07,-0.03
2017-10-25,32975,32994.55,-0.06
2017-10-26,32750,32760.83,-0.03
2017-10-27,32975,32955.9,0.06
2017-10-30,33045,33073.77,-0.09
2017-10-31,33375,33393.89,-0.06
2017-11-01,33925,33913.09,0.04
2017-11-02,33805,33789.93,0.04
2017-11-03,33880,33918.44,-0.11
2017-11-06,33745,33775.37,-0.09
2017-11-07,33710,33711.82,-0.01
2017-11-08,33810,33815.5,-0.02
2017-11-09,33715,33748.43,-0.1
2017-11-10,33625,33630.82,-0.02
2017-11-13,33450,33467.6,-0.05
2017-11-14,33425,33396.15,0.09
2017-11-15,33220,33250.84,-0.09
2017-11-16,33435,33469.92,-0.1
2017-11-17,33425,33451.03,-0.08
2017-11-20,33280,33323.72,-0.13
2017-11-21,33355,33382.52,-0.08
2017-11-22,33560,33581,-0.06
2017-11-23,33500,33481.93,0.05
2017-11-24,33570,33574.78,-0.01
2017-11-27,33000,32982.78,0.05
2017-11-28,33090,33128.39,-0.12
2017-11-29,33075,33097.07,-0.07
2017-11-30,32535,32553.64,-0.06
2017-12-01,32525,32506.23,0.06
2017-12-04,32870,32903.4,-0.1
2017-12-05,32960,32987.57,-0.08
2017-12-06,32490,32478.67,0.03
2017-12-07,32385,32386.93,-0.01
2017-12-08,32485,32500.77,-0.05
2017-12-11,32525,32537.09,-0.04
2017-12-12,32415,32436.23,-0.07
2017-12-13,32670,32646.97,0.07
2017-12-14,32705,32501.04,0.63
2017-12-15,32650,32647.33,0.01
2017-12-18,32690,32684.27,0.02
2017-12-19,32700,32701.43,0
2017-12-20,32610,32604.38,0.02
2017-12-21,31975,31995.41,-0.06
2017-12-22,32130,32145.34,-0.05
2017-12-26,32000,31912.56,0.27
2017-12-27,32375,32471.53,-0.3
2017-12-28,32780,32921.19,-0.43
2018-01-02,32925,33047.09,-0.37
2018-01-03,33065,33159.49,-0.28
2018-01-04,32805,32904.45,-0.3
2018-01-05,33250,33342.76,-0.28
2018-01-08,33475,33573.09,-0.29
2018-01-09,33340,33473.98,-0.4
2018-01-10,33125,33209.94,-0.26
2018-01-11,32955,33015.79,-0.18
2018-01-12,33015,33120.06,-0.32
2018-01-15,33090,33186.31,-0.29
2018-01-16,33350,33450.01,-0.3
2018-01-17,33270,33366.68,-0.29
2018-01-18,33295,33360.3,-0.2
2018-01-19,33320,33398.09,-0.23
2018-01-22,32980,33072.67,-0.28
2018-01-23,33425,33535.34,-0.33
2018-01-24,33480,33533.74,-0.16
2018-01-25,33740,33851.9,-0.33
2018-01-26,33875,33980.32,-0.31
2018-01-29,34105,34246.75,-0.41
2018-01-30,33680,33781.1,-0.3
2018-01-31,33705,33780.9,-0.22
2018-02-01,33715,33802.18,-0.26
2018-02-02,33065,33165.34,-0.3
2018-02-05,32715,32792.87,-0.24
2018-02-06,32250,32265.3,-0.05
2018-02-07,31435,31509.95,-0.24
2018-02-08,31700,31621.44,0.25
2018-02-09,30860,30946.23,-0.28
2018-02-12,31205,31277.03,-0.23
2018-02-13,31445,31551.49,-0.34
2018-02-14,31855,31903.74,-0.15
2018-02-19,32020,32124.07,-0.32
2018-02-20,31650,31745.02,-0.3
2018-02-21,31815,31910.67,-0.3
2018-02-22,31605,31680.23,-0.24
2018-02-23,32100,32142.74,-0.13
2018-02-26,32155,32197.19,-0.13
2018-02-27,32055,32146.11,-0.28
2018-02-28,31690,31746.25,-0.18
2018-03-02,31245,31296.05,-0.16
2018-03-05,30835,30920.89,-0.28
2018-03-06,31455,31513.64,-0.19
2018-03-07,31495,31580.45,-0.27
2018-03-08,31815,31946.93,-0.41
2018-03-09,32180,32236.8,-0.18
2018-03-12,32465,32541.2,-0.23
2018-03-13,32615,32769.63,-0.47
2018-03-14,32590,32669.97,-0.24
2018-03-15,32705,32745.07,-0.12
2018-03-16,32645,32754.57,-0.33
2018-03-19,32410,32500,-0.28
2018-03-20,32565,32644.99,-0.25
2018-03-21,32570,32626.16,-0.17
2018-03-22,32695,32798.25,-0.31
2018-03-23,31605,31705.44,-0.32
2018-03-26,31880,31951.28,-0.22
2018-03-27,32015,32097.47,-0.26
2018-03-28,31620,31644.39,-0.08
2018-03-29,31880,31910.01,-0.09
2018-03-30,31960,31987.84,-0.09
2018-04-02,31885,31926.52,-0.13
2018-04-03,31820,31862.46,-0.13
2018-04-04,31330,31377.2,-0.15
2018-04-05,31765,31828.58,-0.2
2018-04-06,31610,31685.89,-0.24
2018-04-09,31830,31868.32,-0.12
2018-04-10,31860,31917.12,-0.18
2018-04-11,31760,31817.45,-0.18
2018-04-12,31755,31844.65,-0.28
2018-04-13,31965,32008.52,-0.14
2018-04-16,31990,32038.48,-0.15
2018-04-17,31945,31987.78,-0.13
2018-04-18,32300,32387.88,-0.27
2018-04-19,32480,32537.28,-0.18
2018-04-20,32265,32313.32,-0.15
2018-04-23,32245,32314.14,-0.21
2018-04-24,32065,32110.58,-0.14
2018-04-25,31860,31923.51,-0.2
2018-04-26,32260,31873.42,1.21
2018-04-27,32090,32144.81,-0.17
2018-04-30,32300,32420.27,-0.37
2018-05-02,32070,32317.56,-0.77
2018-05-03,31960,32118.91,-0.49
2018-05-04,31705,31738.1,-0.1
2018-05-08,31560,31650.47,-0.29
2018-05-09,31455,31504.21,-0.16
2018-05-10,31670,31794.11,-0.39
2018-05-11,31865,31913.84,-0.15
2018-05-14,31800,31834.53,-0.11
2018-05-15,31510,31555.82,-0.15
2018-05-16,31610,31657.98,-0.15
2018-05-17,31495,31489.75,0.02
2018-05-18,31595,31597.15,-0.01
2018-05-21,31645,31684.21,-0.12
2018-05-23,31860,31890.44,-0.1
2018-05-24,31760,31806.92,-0.15
2018-05-25,31810,31863.84,-0.17
2018-05-28,31945,31957.04,-0.04
2018-05-29,31650,31677.25,-0.09
2018-05-30,30975,30981.79,-0.02
2018-05-31,31100,31146.9,-0.15
2018-06-01,31290,31377.61,-0.28
2018-06-04,31455,31539.97,-0.27
2018-06-05,31525,31631.59,-0.34
2018-06-07,31800,31823.58,-0.07
2018-06-08,31490,31552.01,-0.2
2018-06-11,31765,31778.42,-0.04
2018-06-12,31725,31761.82,-0.12
2018-06-14,31145,31195.48,-0.16
2018-06-15,30990,30947.41,0.14
2018-06-18,30620,30609,0.04
2018-06-19,30225,30208.84,0.05
2018-06-20,30440,30475.01,-0.11
2018-06-21,30180,30174.56,0.02
2018-06-22,30410,30441.36,-0.1
2018-06-25,30395,30409.51,-0.05
2018-06-26,30360,30348.55,0.04
2018-06-27,30250,30297.59,-0.16
2018-06-28,29980,29980.72,0
2018-06-29,30045,30120.3,-0.25
2018-07-02,29375,29446.54,-0.24
2018-07-03,29415,29488.73,-0.25
2018-07-04,29330,29378.88,-0.17
2018-07-05,29260,29315.55,-0.19
2018-07-06,29470,29463.94,0.02
2018-07-09,29690,29674.85,0.05
2018-07-10,29730,29773.04,-0.14
2018-07-11,29560,29596.34,-0.12
2018-07-12,29650,29595.01,0.19
2018-07-13,29945,30003.06,-0.19
2018-07-16,29855,29875.72,-0.07
2018-07-17,29820,29826.21,-0.02
2018-07-18,29750,29785.72,-0.12
2018-07-19,29670,29728.55,-0.2
2018-07-20,29815,29832.72,-0.06
2018-07-23,29575,29594.3,-0.07
2018-07-24,29665,29686.11,-0.07
2018-07-25,29610,29624.42,-0.05
2018-07-26,29810,29835.25,-0.08
2018-07-27,29900,29852.3,0.16
2018-07-30,29765,29802.21,-0.12
2018-07-31,29805,29818.36,-0.04
2018-08-01,29910,29941.47,-0.11
2018-08-02,29375,29427.85,-0.18
2018-08-03,29605,29633.22,-0.1
2018-08-06,29560,29594.89,-0.12
2018-08-07,29760,29788.08,-0.09
2018-08-08,29765,29788.19,-0.08
2018-08-09,29750,29810.57,-0.2
2018-08-10,29425,29433.75,-0.03
2018-08-13,29035,29055.28,-0.07
2018-08-14,29165,29178.28,-0.05
2018-08-16,28880,28895.11,-0.05
2018-08-17,28890,28926.64,-0.13
2018-08-20,28915,28931.07,-0.06
2018-08-21,29230,29262.62,-0.11
2018-08-22,29335,29368.03,-0.11
2018-08-23,29455,29496.2,-0.14
2018-08-24,29570,29621.3,-0.17
2018-08-27,29720,29750.54,-0.1
2018-08-28,29740,29790.06,-0.17
2018-08-29,29825,29872.41,-0.16
2018-08-30,29840,29871.3,-0.1
2018-08-31,29960,30073.21,-0.38
2018-09-03,29785,29815.32,-0.1
2018-09-04,29915,29946.18,-0.1
2018-09-05,29530,29562.4,-0.11
2018-09-06,29485,29494.35,-0.03
2018-09-07,29320,29351.84,-0.11
2018-09-10,29385,29434.55,-0.17
2018-09-11,29290,29310.8,-0.07
