threshold,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,tn,fp,fn,tp
0.9295080116641954,0.8701298701298701,0.52,0.16049382716049382,0.9775700934579439,0.24528301886792453,0.39609842920252414,1046,24,136,26
0.93,0.8693181818181818,0.5102040816326531,0.15432098765432098,0.9775700934579439,0.23696682464454977,0.3884064653475232,1046,24,137,25
0.21000000000000002,0.26055194805194803,0.1456953642384106,0.9506172839506173,0.1560747663551402,0.2526661197703035,0.38518485235760574,167,903,8,154
0.20908385370305815,0.25892857142857145,0.14542020774315392,0.9506172839506173,0.1542056074766355,0.25225225225225223,0.38287140889519844,165,905,8,154
0.9400000000000001,0.8701298701298701,0.5227272727272727,0.1419753086419753,0.9803738317757009,0.22330097087378642,0.3730802559113402,1049,21,139,23
0.20054086003778532,0.2508116883116883,0.14472455648926238,0.9567901234567902,0.14392523364485982,0.25141930251419303,0.3710879168978866,154,916,7,155
0.2,0.25,0.14458955223880596,0.9567901234567902,0.14299065420560747,0.25121555915721233,0.3698811237283546,153,917,7,155
0.19408340808905217,0.2418831168831169,0.14391143911439114,0.9629629629629629,0.13271028037383178,0.2504012841091493,0.35748438400079885,142,928,6,156
0.19,0.237012987012987,0.14311926605504588,0.9629629629629629,0.12710280373831775,0.24920127795527156,0.3498503858633722,136,934,6,156
0.9500000000000001,0.8717532467532467,0.5555555555555556,0.12345679012345678,0.9850467289719627,0.20202020202020202,0.3487272677616266,1054,16,142,20
0.9447629212782256,0.8709415584415584,0.5405405405405406,0.12345679012345678,0.9841121495327103,0.20100502512562815,0.34856179811161714,1053,17,142,20
0.1868634767160465,0.23214285714285715,0.14233576642335766,0.9629629629629629,0.12149532710280374,0.2480127186009539,0.3420460497843386,130,940,6,156
0.18000000000000002,0.22646103896103897,0.1420814479638009,0.9691358024691358,0.11401869158878504,0.2478295185477506,0.332414795352701,122,948,5,157
0.17907313697308375,0.22402597402597402,0.14169675090252706,0.9691358024691358,0.11121495327102804,0.247244094488189,0.32830228903387987,119,951,5,157
0.9600000000000001,0.8701298701298701,0.53125,0.10493827160493827,0.985981308411215,0.17525773195876287,0.3216631379866964,1055,15,145,17
0.17,0.21428571428571427,0.14017857142857143,0.9691358024691358,0.1,0.24492979719188768,0.3113094605804867,107,963,5,157
0.16931310942466013,0.21347402597402598,0.1400535236396075,0.9691358024691358,0.09906542056074766,0.24473889321901793,0.309851328627267,106,964,5,157
0.9663923046990682,0.8709415584415584,0.56,0.08641975308641975,0.9897196261682243,0.1497326203208556,0.2924573912867336,1059,11,148,14
0.1640657326685276,0.20373376623376624,0.13857016769638128,0.9691358024691358,0.08785046728971962,0.24247104247104248,0.29178593714247264,94,976,5,157
0.16,0.19805194805194806,0.13771929824561405,0.9691358024691358,0.08130841121495327,0.2411674347158218,0.28071140402608197,87,983,5,157
0.1537558266202128,0.1939935064935065,0.137117903930131,0.9691358024691358,0.07663551401869159,0.24024483550114767,0.27252563251213524,82,988,5,157
0.97,0.8701298701298701,0.5454545454545454,0.07407407407407407,0.9906542056074766,0.13043478260869565,0.2708907399819367,1060,10,150,12
0.15000000000000002,0.18993506493506493,0.13652173913043478,0.9691358024691358,0.07196261682242991,0.23932926829268292,0.26408625182312034,77,993,5,157
0.14,0.18344155844155843,0.13557858376511225,0.9691358024691358,0.06448598130841121,0.23787878787878788,0.24999134633690182,69,1001,5,157
0.14139605691152282,0.18344155844155843,0.13557858376511225,0.9691358024691358,0.06448598130841121,0.23787878787878788,0.24999134633690182,69,1001,5,157
0.98,0.872564935064935,0.6923076923076923,0.05555555555555555,0.9962616822429906,0.10285714285714286,0.2352612829084329,1066,4,153,9
0.9812220380245994,0.872564935064935,0.6923076923076923,0.05555555555555555,0.9962616822429906,0.10285714285714286,0.2352612829084329,1066,4,153,9
0.13136346532727664,0.1737012987012987,0.13418803418803418,0.9691358024691358,0.05327102803738318,0.23573573573573572,0.22721544953053957,57,1013,5,157
0.13,0.17126623376623376,0.13384484228473997,0.9691358024691358,0.05046728971962617,0.2352059925093633,0.22115527875425509,54,1016,5,157
0.12,0.1663961038961039,0.13378492802709568,0.9753086419753086,0.04392523364485981,0.23529411764705882,0.2069798540308123,47,1023,4,158
0.1156984103803923,0.16558441558441558,0.13367174280879865,0.9753086419753086,0.04299065420560748,0.23511904761904762,0.20476610210408636,46,1024,4,158
0.11,0.16233766233766234,0.13322091062394603,0.9753086419753086,0.03925233644859813,0.2344213649851632,0.1956607854324421,42,1028,4,158
0.99,0.8717532467532467,0.75,0.037037037037037035,0.9981308411214953,0.07058823529411765,0.19227014570761045,1068,2,156,6
0.09999999999999999,0.15503246753246752,0.1322175732217573,0.9753086419753086,0.0308411214953271,0.2328666175386883,0.1734347494667749,33,1037,4,158
0.10017642243389834,0.15503246753246752,0.1322175732217573,0.9753086419753086,0.0308411214953271,0.2328666175386883,0.1734347494667749,33,1037,4,158
0.09,0.14853896103896103,0.1313383208645054,0.9753086419753086,0.02336448598130841,0.2315018315018315,0.15095557324219944,25,1045,4,158
0.08512375341879987,0.1452922077922078,0.1309030654515327,0.9753086419753086,0.019626168224299065,0.2308254200146092,0.13835306819156587,21,1049,4,158
0.08,0.1444805194805195,0.13079470198675497,0.9753086419753086,0.018691588785046728,0.23065693430656933,0.1350187693408025,20,1050,4,158
0.06999999999999999,0.14204545454545456,0.13047068538398018,0.9753086419753086,0.01588785046728972,0.23015294974508377,0.12448115465065027,17,1053,4,158
0.060000000000000005,0.14042207792207792,0.1314708299096138,0.9876543209876543,0.012149532710280374,0.23205221174764323,0.10954240493657813,13,1057,2,160
0.05270370904849024,0.14042207792207792,0.1320754716981132,0.9938271604938271,0.011214953271028037,0.2331643736422882,0.10557331653602985,12,1058,1,161
0.05,0.1396103896103896,0.1319672131147541,0.9938271604938271,0.010280373831775701,0.23299565846599132,0.10107875510733544,11,1059,1,161
0.04,0.13717532467532467,0.13224489795918368,1.0,0.0065420560747663555,0.2335976928622927,0.0808829776576404,7,1063,0,162
0.03,0.13555194805194806,0.13202933985330073,1.0,0.004672897196261682,0.23326133909287258,0.06835859270246632,5,1065,0,162
0.02,0.13392857142857142,0.13181448331977216,1.0,0.002803738317757009,0.23292595255212079,0.052950338221365585,3,1067,0,162
0.01,0.1331168831168831,0.13170731707317074,1.0,0.001869158878504673,0.23275862068965517,0.043233770116711694,2,1068,0,162
