Date,GARCH_mu_t1,GARCH_sigma_t1,GARCH_VaR_5_t1,GJR_mu_t1,GJR_sigma_t1,GJR_VaR_5_t1,return(%),Risk_Label
2020-02-03,0.03915274544141572,1.3380352965955788,-2.0891301040611565,0.023472142279600646,1.3725490237278328,-2.1688748761586787,0.18258687818814173,Low Risk
2020-02-04,0.039478500685797134,1.057763119178433,-1.6432652557364875,0.023686961219061303,1.3366643197170083,-2.111603024049461,1.9558419898175885,Low Risk
2020-02-05,0.03963827332538567,1.2486282495106722,-1.9466097081747737,0.023832526188477195,1.2962804047983447,-2.046833813546479,0.45992748999923233,Low Risk
2020-02-06,0.039983553050146864,1.3051844659277996,-2.0361518112410715,0.024079689234815696,1.2648830151698465,-1.9963349327568516,2.9124521732928423,Low Risk
2020-02-07,0.039770432206487294,1.411025441808848,-2.204793374830745,0.02388385948785046,1.2567826836751765,-1.9836595692904904,-0.8148869529608739,Low Risk
2020-02-10,0.0396541935013805,1.2354428612151052,-1.9255718519210927,0.02372890691625565,1.2396384209900246,-1.9564298072739286,-0.6628004014793272,Low Risk
2020-02-11,0.03988448917459464,1.2329839356385384,-1.9215281708416458,0.023957321208575896,1.204395836573022,-1.8999927171578428,1.0209682320982274,Low Risk
2020-02-12,0.040058068756661194,1.325257931910224,-2.0681220374824645,0.02416095039487096,1.1703732775274185,-1.8454353316809353,0.7523119727287336,Low Risk
2020-02-13,0.04006272760836317,1.1930580895743585,-1.8576576484618232,0.02412693585773599,1.139940077826833,-1.796730164788893,-0.2025050463488233,Low Risk
2020-02-14,0.04026362045004294,1.149795765101208,-1.788608620374063,0.024339643526387872,1.1087127209666856,-1.7466205428274857,0.6888185268933235,Low Risk
2020-02-17,0.04022061652313621,1.2234185502846142,-1.9055756287486996,0.024336407324746723,1.0792749649705022,-1.6994662078009857,-0.0825395797523106,Low Risk
2020-02-18,0.039774708064209775,1.1443561329669056,-1.7806224893136913,0.023873400476523404,1.1798694736985091,-1.8609158456225237,-1.6719855046560226,High Risk
2020-02-19,0.03985424780479827,1.2122125700559547,-1.8883124974704721,0.023958126343695298,1.1469029385302383,-1.8080266907494194,0.19796217005579714,Low Risk
2020-02-20,0.03967158067857153,1.14551100635966,-1.7823712170171333,0.02379912827684715,1.130834965184259,-1.7825046337411323,-0.564723922045031,Low Risk
2020-02-21,0.03924913775617067,1.1059046770882295,-1.7201046641280544,0.023401096004266368,1.1930865987194808,-1.8826467395846602,-1.4361801221213801,High Risk
2020-02-24,0.03912920696520132,1.3326022803058153,-2.078954978345428,0.02320511201679344,1.7260437157626427,-2.7323930075772513,-3.976536882491138,High Risk
2020-02-25,0.039346067365030754,1.7289682390534409,-2.708910807954454,0.02336772547600828,1.6708881269738713,-2.6442115913397815,1.1393115272078793,Low Risk
2020-02-26,0.03913961969953589,1.2479782565356001,-1.9447689548617582,0.023137614488769366,1.6933459749736866,-2.680551392207251,-1.5243614142124995,High Risk
2020-02-27,0.03887238926717957,1.3383763394736337,-2.0889338647012807,0.023013665176717,1.6731637127924173,-2.648506837232293,-1.0232953267104696,Low Risk
2020-02-28,0.038863206126025715,1.6547679952562715,-2.591618887069059,0.022625607297748828,1.9515591295605406,-3.0935819212417575,-3.3280786345193167,High Risk
2020-03-02,0.03896279534580886,1.6722410285825038,-2.619233076854197,0.022765483493867474,1.8860498814737878,-2.9887469084725646,0.8729809607080298,Low Risk
2020-03-03,0.03900869646848441,1.3481341124581312,-2.1038212619731427,0.022876839697848518,1.823332305504432,-2.8882994011217775,0.43917272346854885,Low Risk
2020-03-04,0.03941534938877816,1.529377144941095,-2.3918047565755365,0.023007204510481487,1.7688635508336892,-2.8015666731498285,2.390554739972005,Low Risk
2020-03-05,0.03958334990893441,1.719221841667232,-2.693533252842193,0.023161516334774247,1.7126664068018855,-2.7117076465745096,1.161743845929252,Low Risk
2020-03-06,0.03930720277491767,1.424538314389333,-2.2257339537494034,0.02283820076780334,1.8143710866372238,-2.8748777961041547,-2.2571396185094112,High Risk
2020-03-09,0.03928385988078707,1.72788440327688,-2.706569895992232,0.022478686707973435,2.2831836431416406,-3.6234581345112304,-4.456255010547268,High Risk
2020-03-10,0.03940101223282744,2.189481344393338,-3.4397979433113863,0.022602341808164752,2.2035035561507006,-3.4958859785055827,0.5911677680436975,Low Risk
2020-03-11,0.03922064028644583,1.593019494682158,-2.4926062772117006,0.02230726063307585,2.3408218124968267,-3.7159975130745515,-2.9368785050903385,High Risk
2020-03-12,0.039224768568472984,1.958550841092241,-3.0734166118531827,0.021975469002268332,2.577778414316055,-4.095302084278849,-3.721973936755331,High Risk
2020-03-13,0.039138535796899236,2.366882725804497,-3.723174962837653,0.02175992895122199,2.6651935304403565,-4.235656357246535,-2.8551722887077142,High Risk
2020-03-16,0.038950360846364274,2.0213350777688737,-3.174634922793729,0.021524511097173505,2.792324471383774,-4.439561776157902,-3.2433875235539507,High Risk
2020-03-17,0.03882828571923921,2.2121908591478303,-3.4788014163324665,0.021365155958984788,2.836066658069162,-4.510027422457644,-2.6444379304983063,High Risk
2020-03-18,0.038955740373281866,2.417369750439877,-3.8047986594823078,0.02105889311593914,3.211207031172817,-5.110253125570474,-4.99742465913097,High Risk
2020-03-19,0.03908353401002718,2.901673194796001,-4.57173674791299,0.02072858143120609,4.117169537392138,-6.557078464939656,-7.978020442630385,High Risk
2020-03-20,0.03942705894163816,3.7275104656108735,-5.883406677224425,0.02063925814172364,3.991972815716831,-6.3577548523772185,6.972189535699454,Low Risk
2020-03-23,0.03942045071966855,3.6863996106477845,-5.819088463952706,0.020386306583918885,4.317080771546675,-6.8783743495392775,-5.680885850492136,High Risk
2020-03-24,0.039680410276334545,3.8430242374878154,-6.067196375552871,0.020261903959346496,4.1845643417807645,-6.66682108648795,8.754788961122257,Low Risk
2020-03-25,0.03986676550205832,4.740950095533843,-7.495224116874791,0.02023274758634539,4.034688736670499,-6.428138437680604,5.539444517327379,Low Risk
2020-03-26,0.03982278495505879,4.141445564715679,-6.5420846816023115,0.02026523153763525,3.9138311567812454,-6.234757736186547,-1.5360633822804493,High Risk
2020-03-27,0.039845296365241756,3.683192804905121,-5.813629386682652,0.020368161093952494,3.762961548881324,-5.993435443129541,1.9217645163944184,Low Risk
2020-03-30,0.039680216492062416,4.135144331183068,-6.531564185113252,0.02044001945755905,3.6237670219882516,-5.770541519487451,-0.574811279813636,Low Risk
2020-03-31,0.039730923980481093,3.7766963263553732,-5.961660567218146,0.02054243570936363,3.4862163841444542,-5.550545753628781,1.8625254822245838,Low Risk
2020-04-01,0.03958884347842593,3.5181259462609233,-5.55180662805386,0.020320315779437215,3.701215320677779,-5.895163587030572,-4.521788898326245,High Risk
2020-04-02,0.03961179514400393,4.000334570132804,-6.318323298482724,0.0204072933428694,3.5611383453118592,-5.671309423563944,2.396496192961085,Low Risk
2020-04-03,0.03962095068734085,3.6018378285956363,-5.684450026079765,0.02049486636785624,3.425786824981557,-5.4544673564414285,-0.06040445093540412,Low Risk
2020-04-06,0.03969023443773331,3.3009025579292683,-5.206768018017552,0.020531257037950452,3.299196466344599,-5.252700766255761,3.8564812406115445,Low Risk
2020-04-07,0.03973714740990557,3.7652285726935215,-5.944600085060966,0.020635638127844656,3.174956362647668,-5.053922471001488,1.6719206861620515,Low Risk
2020-04-08,0.03972722374442546,3.389060825433969,-5.346456757162099,0.02064293802627345,3.0845855619668865,-4.9092940462795545,-1.2244362693126893,Low Risk
2020-04-09,0.0397975863644339,3.0814866798039837,-4.85744460155922,0.02074829622355606,2.9681633603599207,-4.722998654230102,1.5261839699730797,Low Risk
2020-04-10,0.039838245166485334,3.350024011356043,-5.283826573466535,0.02085345762076402,2.855187950196637,-4.542076737116743,0.9683831623471969,Low Risk
2020-04-13,0.03978342740108835,3.1261728647417386,-4.928190224433264,0.020778747387872925,2.8229927624088584,-4.490794500267493,-1.8722590687626304,High Risk
2020-04-14,0.03986539587280042,2.9178137200819796,-4.596966128798586,0.02088379543251329,2.7160150120304904,-4.319693856481649,1.6502373587713142,Low Risk
2020-04-16,0.03986594243494522,3.028122744822281,-4.771838575153445,0.020943686856798087,2.6108346259234723,-4.151184574405288,-0.1415391369915666,Low Risk
2020-04-17,0.03994207690795501,2.892195555841126,-4.556302229762908,0.021020008084256404,2.5183897639555517,-4.003901939637069,3.1548852513677192,Low Risk
2020-04-20,0.039911978137386686,2.8772990039632544,-4.5325290136345835,0.020981769295782354,2.4528920989431087,-3.8991517187218956,-1.135750382639228,Low Risk
2020-04-21,0.03987722219047395,2.7770049224917965,-4.373044973445731,0.020940734458624814,2.387802426416632,-3.795051885975957,-1.092647760929949,Low Risk
2020-04-22,0.03996845621922087,2.652251077707246,-4.1745180809156475,0.021045420111868777,2.293232516998036,-3.643631253795928,0.9894794232874242,Low Risk
2020-04-23,0.04005259810617289,2.604299697386397,-4.098011250293551,0.021144580711955848,2.200107166354746,-3.494466624161748,0.7357339355229386,Low Risk
2020-04-24,0.03998586720058176,2.521642259290464,-3.9667600384995967,0.02104194320876932,2.167976831433146,-3.4432702362388317,-1.372985610842958,High Risk
2020-04-27,0.0400993881787493,2.4623473746571167,-3.8725749229584427,0.021164901898970512,2.08656339874616,-3.313231149512083,1.8055596625244723,Low Risk
2020-04-28,0.040184590380655055,2.4254959199078847,-3.8137024090825005,0.021260801643229358,1.9988364051360363,-3.172692161575992,0.6063896981232436,Low Risk
2020-04-29,0.040292341677680754,2.2870134208649695,-3.5933570834748676,0.021363208861517245,1.913547686340257,-3.0360899363519502,0.6841007823076451,Low Risk
2020-05-04,0.04002419356781561,2.2897988209391245,-3.598592722210494,0.02106302550305392,2.1309939534465716,-3.384465322159133,-2.9682720864790095,High Risk
2020-05-06,0.04014450145814015,2.4439168831769473,-3.843555385603162,0.02119173795941975,2.051008114818068,-3.2566670355597167,1.7405478340849674,Low Risk
2020-05-07,0.04017521346753006,2.2085934916172127,-3.4693127899433103,0.021216343173687743,1.969540174302618,-3.1261739523034318,-0.2119866059107601,Low Risk
